SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S951,Ahmednagar,19.0904,74.7281,6.84,0.01,0.029,0.006,0.028,0.003,0.27,0.15,0.11,0.02
S952,Satara,17.6926,74.0258,7.01,0.012,0.026,0.004,0.033,0.003,0.31,0.12,0.13,0.05
S953,Satara,17.6459,74.0072,6.5,0.012,0.025,0.006,0.033,0.002,0.13,0.1,0.07,0.04
S954,Pune,18.5148,73.895,7.09,0.016,0.026,0.004,0.031,0.002,0.19,0.12,0.12,0.08
S955,Nagpur,21.1746,79.038,6.85,0.011,0.013,0.003,0.06,0.002,0.45,0.12,0.11,0.05
S956,Aurangabad,19.8939,75.3564,6.86,0.007,0.049,0.005,0.033,0.002,0.28,0.1,0.19,0.06
S957,Sangli,16.8175,74.5767,6.88,0.025,0.034,0.005,0.023,0.001,0.3,0.11,0.13,0.05
S958,Nashik,19.9797,73.7891,6.5,0.009,0.022,0.007,0.028,0.002,0.32,0.14,0.19,0.06
S959,Aurangabad,19.8619,75.3234,6.94,0.013,0.03,0.006,0.042,0.003,0.45,0.1,0.18,0.05
S960,Satara,17.7161,74.0501,7.25,0.017,0.021,0.002,0.036,0.003,0.28,0.12,0.17,0.05
S961,Satara,17.72,73.931,6.69,0.011,0.02,0.006,0.039,0.002,0.35,0.07,0.09,0.07
S962,Mumbai,19.0571,72.8306,7.24,0.024,0.037,0.005,0.042,0.003,0.25,0.13,0.15,0.08
S963,Pune,18.526,73.8956,7.06,0.007,0.036,0.003,0.049,0.002,0.39,0.13,0.16,0.07
S964,Ahmednagar,19.1079,74.6892,7.03,0.009,0.027,0.003,0.024,0.003,0.39,0.1,0.15,0.06
S965,Nagpur,21.1629,79.0679,7.25,0.014,0.023,0.005,0.03,0.002,0.26,0.11,0.19,0.05
S966,Nashik,19.9936,73.8036,6.89,0.019,0.03,0.007,0.03,0.001,0.28,0.07,0.16,0.04
S967,Aurangabad,19.9462,75.3822,7.0,0.021,0.015,0.01,0.03,0.002,0.15,0.11,0.1,0.06
S968,Sangli,16.8361,74.5492,6.8,0.017,0.017,0.004,0.043,0.004,0.34,0.07,0.13,0.06
S969,Pune,18.5099,73.8838,7.05,0.021,0.024,0.008,0.034,0.001,0.47,0.05,0.11,0.05
S970,Sangli,16.9276,74.6357,7.37,0.014,0.043,0.006,0.046,0.002,0.3,0.09,0.13,0.07
S971,Solapur,17.6709,75.9055,7.38,0.002,0.03,0.006,0.047,0.002,0.32,0.13,0.2,0.05
S972,Mumbai,19.084,72.9281,6.5,0.012,0.036,0.007,0.041,0.002,0.23,0.08,0.2,0.05
S973,Nagpur,21.1488,79.0656,7.21,0.013,0.025,0.002,0.02,0.002,0.19,0.16,0.06,0.04
S974,Mumbai,19.0765,72.8667,6.72,0.01,0.019,0.004,0.056,0.002,0.39,0.12,0.18,0.01
S975,Satara,17.6714,74.0575,6.86,0.027,0.036,0.004,0.031,0.001,0.25,0.06,0.16,0.03
S976,Mumbai,19.0941,72.8965,6.58,0.025,0.03,0.006,0.028,0.002,0.39,0.1,0.22,0.06
S977,Nashik,20.0317,73.7986,7.15,0.006,0.029,0.004,0.028,0.003,0.28,0.07,0.13,0.03
S978,Satara,17.7235,73.9974,7.13,0.024,0.022,0.006,0.026,0.004,0.37,0.09,0.11,0.06
S979,Aurangabad,19.866,75.4019,6.69,0.017,0.026,0.005,0.035,0.002,0.37,0.12,0.16,0.01
S980,Sangli,16.8614,74.5318,7.16,0.025,0.02,0.004,0.03,0.003,0.31,0.15,0.16,0.06
S981,Aurangabad,19.8782,75.3678,6.57,0.017,0.026,0.006,0.034,0.001,0.3,0.07,0.06,0.07
S982,Solapur,17.6773,75.9204,7.33,0.012,0.016,0.005,0.033,0.001,0.29,0.08,0.07,0.05
S983,Satara,17.6464,74.0252,6.84,0.023,0.037,0.006,0.02,0.003,0.43,0.1,0.19,0.05
S984,Satara,17.6245,73.9955,7.43,0.007,0.026,0.005,0.031,0.002,0.31,0.08,0.08,0.06
S985,Nagpur,21.178,79.1143,6.8,0.008,0.024,0.008,0.042,0.003,0.37,0.11,0.14,0.07
S986,Satara,17.6641,73.9759,7.18,0.023,0.018,0.007,0.053,0.002,0.23,0.1,0.12,0.05
S987,Sangli,16.8654,74.5334,6.64,0.016,0.026,0.006,0.055,0.002,0.35,0.07,0.17,0.05
S988,Nashik,19.9996,73.7865,7.26,0.008,0.01,0.005,0.041,0.002,0.4,0.11,0.12,0.01
S989,Solapur,17.6528,75.9372,6.9,0.016,0.029,0.003,0.042,0.003,0.29,0.07,0.14,0.02
S990,Nagpur,21.1559,79.1018,7.42,0.015,0.029,0.003,0.032,0.001,0.28,0.09,0.15,0.05
S991,Ahmednagar,19.0977,74.7396,6.92,0.016,0.026,0.007,0.035,0.002,0.29,0.08,0.13,0.1
S992,Sangli,16.825,74.5731,6.9,0.015,0.024,0.006,0.019,0.003,0.35,0.06,0.05,0.04
S993,Nashik,19.9902,73.8672,7.14,0.005,0.021,0.005,0.039,0.001,0.29,0.08,0.1,0.07
S994,Mumbai,19.0992,72.9029,7.14,0.013,0.031,0.006,0.037,0.002,0.26,0.1,0.24,0.07
S995,Aurangabad,19.8579,75.3183,6.88,0.029,0.023,0.007,0.032,0.002,0.36,0.08,0.11,0.09
S996,Solapur,17.6894,75.9301,7.2,0.019,0.04,0.005,0.042,0.001,0.23,0.06,0.19,0.01
S997,Kolhapur,16.6929,74.1535,6.79,0.013,0.036,0.006,0.028,0.003,0.3,0.1,0.09,0.04
S998,Sangli,16.8276,74.5829,7.02,0.025,0.029,0.001,0.039,0.001,0.22,0.08,0.11,0.03
S999,Aurangabad,19.8823,75.301,7.09,0.029,0.017,0.004,0.011,0.002,0.35,0.12,0.14,0.08
S1000,Pune,18.5968,73.9081,6.87,0.007,0.023,0.003,0.041,0.001,0.29,0.13,0.14,0.04
